loss_reconstruction,loss_prediction,loss_linearity,loss_eigvalue,lin_dyn_weight
0.5412322175726494,0.5482904512345311,0.014531380125852814,0.6551167386466632,0.0005701950867660344
0.19665085853903927,0.21426195960901379,0.10882974739608432,0.5633196106864684,0.030047621577978134
0.10154041232436337,0.1206913388886017,0.250199347914224,0.4917964245774471,0.13917194306850433
0.07962508323844572,0.08911795608559499,0.1274010042282915,0.4406752392210206,0.21088501811027527
0.07207581518722284,0.08030488078380078,0.1000152095732836,0.4015314280187796,0.24421466886997223
0.06753500050617926,0.07513833718109707,0.11109424397429257,0.36707162265803156,0.26622676849365234
0.0633945136103809,0.06951633869762715,0.08214695760655659,0.33560248146747457,0.288401335477829
0.0605773683887065,0.06705020890438844,0.07560993311552196,0.31251622556681286,0.3052748143672943
0.05824031654855202,0.06299314187495063,0.05774037742702635,0.2895230976090674,0.3195648491382599
0.05807222086366955,0.06840184380877114,0.11912068237248438,0.2698031393836075,0.3213016986846924
0.05508466901871858,0.0606668451775974,0.07375971231879241,0.24778615837122736,0.3408009707927704
0.05296689568551872,0.05796197501208444,0.058231818382366095,0.23192337243230987,0.3538579046726227
0.05186337320478608,0.059468446314414766,0.11016210353366492,0.21840992334221387,0.3620484471321106
0.04964161987838413,0.05367677410110711,0.04666839408670769,0.20938857986364542,0.37820279598236084
0.04997478057967434,0.054647652916710115,0.05114139651944586,0.19483859605348142,0.37648263573646545
0.0481896792555942,0.05191990102943402,0.04569676374622069,0.18498663064941323,0.38959944248199463
0.04654051351483322,0.053290262448803666,0.08037173817927971,0.1760000570929402,0.40278908610343933
0.04528162953001884,0.04997560184139349,0.07252934577078346,0.16789255716685636,0.41159024834632874
0.04325464718423325,0.047788451348329035,0.06641098059434195,0.16057631469284242,0.4281536340713501
0.04354176899023734,0.04971996717774197,0.06658377730095355,0.1531405320276204,0.42681241035461426
0.042005018538348475,0.04686390808296587,0.06090755387141941,0.14721071036986946,0.4386049807071686
0.042163441082507615,0.04977042823230932,0.07642977257276667,0.14012135217720317,0.4381747841835022
0.04143727233198948,0.04863147815095196,0.08810313272691923,0.13353929704619477,0.44418951869010925
0.039747160772016475,0.04483204202142222,0.06031234836051036,0.12808712821543697,0.4587598741054535
0.03930280799041165,0.043989273002895526,0.07737864484016761,0.12322757157419706,0.4627406597137451
0.038063260584310615,0.0413754082886607,0.04087987859750881,0.11776643506083986,0.4743242561817169
0.037058403590649124,0.04031091219877909,0.03609492977576745,0.11380979776302547,0.4837019443511963
0.03575621425466308,0.039631903096634,0.040982389273296733,0.1102589268147466,0.495990127325058
0.03440388156245924,0.03831408657233453,0.04133739980092477,0.1051259380003722,0.509036123752594
0.03365749738930697,0.0382492829204085,0.05795533949604143,0.10095444123882391,0.5173052549362183
0.032263059608498464,0.03575656843688788,0.043856552210274395,0.09684771051675321,0.5306849479675293
0.033211189104948226,0.041971575613595526,0.0792253942206382,0.0938728259771503,0.5217293500900269
0.033081044640202305,0.03804650691015791,0.07987344056248026,0.09168497211332295,0.5232877135276794
0.03096466495508163,0.034303337455435026,0.03807995845651099,0.08710852005686262,0.5455304980278015
0.03034437312457421,0.03337954083612393,0.03461863378177699,0.08521339255347649,0.5507354140281677
0.029323475495300406,0.03149163202150418,0.026175408791401112,0.0816426006502824,0.5623810291290283
0.028328230809270535,0.03092744566959606,0.02878706404394982,0.07818848302153417,0.5723195672035217
0.02795463075346985,0.03133430503728243,0.04511839341142542,0.0753823856526022,0.5770481824874878
