loss_reconstruction,loss_linearity
0.9977348609839943,0.0654186806753877
0.5683180661048071,0.004087144464638893
0.4263077617969973,0.002307839792136892
0.3397532414654944,0.001883933927998666
0.2754910803991732,0.001829537953157727
0.21871959004581135,0.0018038778470943985
0.17152079616251323,0.001838407974225786
0.13476292245669275,0.0018039226223622265
0.10623619621544676,0.0017911900052096665
0.0856998629128965,0.0018524597358363043
0.07102951549253259,0.0017778848481411987
0.05952761944473269,0.0017828174252512469
0.05231656277946748,0.0017721931956928153
0.04708239404190002,0.0018229489626697497
0.04340454809187884,0.0018042834777130317
0.040621566319034186,0.001793791022496273
0.03799108825324368,0.0018006434330801622
0.03647913896646001,0.0018477963362308594
0.03471770655893129,0.001856857249088805
0.0335205590337435,0.0018150403648714757
0.03215656260742579,0.0017577235012043058
0.03132424551504227,0.0017894248193474462
0.03076061341741769,0.0019076665833432616
0.029750402477487482,0.0018209661126146767
0.029305833813811754,0.001887578904209284
0.028638092056915525,0.0019523622823914078
0.02785437208557896,0.0018687209759866345
0.02761044749745415,0.0018028569109388316
0.02728079908574874,0.0018325144744630473
0.026835420925479792,0.0019311030918417683
0.026264346202201243,0.001901558147813256
0.025637209140783022,0.001986109585458807
0.02518655089087205,0.0020847987632039966
0.0252490126685147,0.002593760192643941
0.024504403805924484,0.0020883209140716624
0.02343873499365818,0.002300017067648211
0.02337901449535072,0.002379643225832655
0.022502524913076423,0.0025123570728597627
0.022471546128032673,0.0021686723883995343
0.022146434605561056,0.002192888190425513
0.021501826307169555,0.002047385390593243
0.021645879298049068,0.001850126851125353
0.020831397117862114,0.0020127396340214776
0.020596948734437175,0.0019309360935944495
0.020115916834440053,0.0018526314790223302
0.019819006059148995,0.001827567551739454
0.019884129371943487,0.0018132350971827398
0.019754003598566987,0.0017896701791510984
0.019025212443426212,0.0018964702988807463
0.018990119754389207,0.0016972475657713957
0.018863828682987364,0.0016366993370478418
0.018895114769524927,0.001921893717301635
0.018319984423570915,0.0018220174634434663
0.017907687170735632,0.0016191559272566087
0.01753550291500846,0.0015593864951886976
0.01732368529562017,0.001703917957410396
0.017399788502074437,0.0017378607935873897
0.016887545585632324,0.0015875223472255006
0.016668234509852872,0.0014799341123086717
0.01664673635890912,0.0016201417109786705
0.016346702611837887,0.001652987504093321
0.016270875571240687,0.0016432712453819472
0.015876723093857074,0.0015501411845183484
0.01585030530756664,0.0017034980773066868
0.015935739057872635,0.0016225394624317859
0.015663023733461512,0.0014748597057566207
0.015419283642086522,0.002036408207881147
0.015199593260844335,0.0017367889811272356
0.015242838642832102,0.0017232321878151104
0.014878135509089873,0.0015350356857209957
0.015025010706991677,0.0014650078821832428
0.014728188529690532,0.0016183278210655893
0.014451460101349584,0.0015506709020100434
0.014114013263810895,0.0014861733271882697
0.014034375723141767,0.0013097033891502278
0.013915666249198664,0.001809963042006376
0.013814875881010342,0.0015452267569627104
0.013719539530075906,0.0021727857761704252
0.013465863600093622,0.001830275059395517
0.013121176071604838,0.0013434760901083215
0.012989469594134882,0.001370927363561701
0.013231984332163915,0.0014399485288053033
0.01321234640942502,0.0015250917804370018
0.012739396351951376,0.001476572898288954
0.012610593021675026,0.0014976175247888822
0.012683593675534144,0.0019174374024516056
0.012572970680752645,0.0018328192082655694
0.01257666194656659,0.001332276508252039
0.012522345638506854,0.002079611235290726
0.012187397953911857,0.001961665792295824
0.01205987608105184,0.002145920833323061
0.011797601409536104,0.0015563059622551697
0.011746245815890564,0.00129239182374952
0.011760870766284159,0.0012264658269989267
0.011471193590908044,0.001134352174265455
0.011313937624402085,0.001145679605737748
0.011395159766737162,0.001331386113621734
0.011083997948339893,0.0013516236860654628
0.011287252513576929,0.001967588629968085
0.011087560876404952,0.002607936278015535
0.010913604535861566,0.0020847573948789377
0.010731395116779983,0.0029124828229031598
0.01069095557001257,0.001748489252798479
0.010690480408236265,0.0013108600571441985
0.010531365554330336,0.0012447887506640588
0.010565024216337274,0.0014912137570079345
0.010250490575769152,0.001477115579703498
0.010252291708685277,0.00114113592306132
0.010315316674317017,0.0011255206485920593
0.010054821979963588,0.0010168484072562995
0.009967359092496035,0.0010195139907275504
0.009975191425462191,0.0011713253905317538
0.010098262213110604,0.0016306278588569876
0.010015022166912262,0.0019039617141024597
0.00978898837033849,0.0014440325895903616
0.009464920208796898,0.0012753117266523055
0.009630315485173192,0.0013516895883734122
0.009439690263277723,0.0014543159185701497
0.00938000669328361,0.0011365174505629904
0.009455783944327294,0.0011200969698576721
0.009190553459700886,0.001089134773529127
0.00902783564584025,0.001273057881390661
0.00904391653556127,0.0009321251187483523
0.009032120066757337,0.0023096132706401334
0.009182382624686243,0.003315174527686019
0.009081545685375505,0.0014738333246098886
0.008967389267726973,0.0011329142989755555
0.00890232874554939,0.000956204059738516
0.00892759404387375,0.0010391849875899567
0.009006431131516321,0.001081354781266192
0.008882948237373905,0.0010178350823514422
0.008710627196900966,0.0010905514955620503
0.008873564937718752,0.0009623455956088874
0.008667759117907558,0.0010586548231457217
0.008683765646639523,0.0011570727616179006
0.008511715938134903,0.0020253580692785995
0.008521873508917102,0.0035096009757529553
0.008713244912451778,0.0022999995167119975
0.008302905634245348,0.001184382350446192
0.008261947870134668,0.0009112621298004891
0.008167702057985613,0.0008261077492697609
0.00800834801147914,0.0007826741038879065
0.007933267624424546,0.0008554843007199886
0.008108636164593314,0.0009965078472022476
0.00816783103242956,0.0015502054875981231
0.008244189965581126,0.002208703799278103
0.008195057186740014,0.0012304802139941353
0.007996676916671023,0.0008591348848408013
0.007836886853898498,0.0008500310278375291
0.007819014376693533,0.0008261615832413649
0.0077155044791725625,0.0020323777796036435
0.007885571314526307,0.0014822864430599494
0.007620903545985593,0.0012656119986045257
0.007718822069905558,0.0010161842984189816
0.007552139530952111,0.0008519688276598984
0.007417918370172741,0.000877213048724952
0.007453479901475497,0.0008510423377256131
0.0077618156102843006,0.001116435402747114
0.007276007441189589,0.001059701198077793
0.007496982830359373,0.001813626501099993
0.0072953825162339146,0.002244337564259368
0.007429515000372805,0.0030929880870890682
0.00741873007147865,0.001339696302146079
0.0072719666148078985,0.0011040213703235296
0.007315587556993354,0.0009529276506915369
0.007469330507333094,0.00090422097034253
0.007328106597285648,0.0008831772881175514
0.007096425225663601,0.0008091675620101612
0.007064811241171315,0.0007176509962839152
0.00686828266259972,0.0007957069684836225
0.0068913858993123744,0.0009627947465194535
0.007116362744637693,0.0017165058909168831
0.0068394600328847005,0.0018135142086907702
0.006802182339990746,0.0018380884216579012
0.0069913142448136375,0.0014602903990779102
0.006998527051017048,0.0025165138008377587
0.007055102932409211,0.005023096734907568
0.007288418380648457,0.001971921150231779
0.0068548369638362135,0.0007455223600440047
0.00673981158726976,0.0007285887249695492
0.006699065537998408,0.0006561366026289761
0.006524754915356476,0.0006493367140815561
0.006701516519343086,0.0006149189324173127
0.006571945357298723,0.000893348398188943
0.006647305193559414,0.001074431329558606
0.006795921163189027,0.0021169415572733085
0.006608141224142214,0.0014720514145787136
0.006617664662876414,0.0009611067168624328
0.006489346862518436,0.0007525693089014603
0.006540531255105066,0.0008052694943643627
0.006322170828716285,0.0006796335876387502
0.0065308009354202905,0.000863729014832916
0.006431063941752304,0.0007825702654782074
0.006418656862413276,0.0006254211858716411
0.006451929891956396,0.0008834036527171571
0.006396523857833793,0.0015310793060150207
0.006435838580411178,0.001084658582557502
0.006447932613019809,0.0008264656208927466
0.00621843339261117,0.0007641370721590822
0.00622019054612829,0.0007380466195367697
0.006232500136218186,0.0007678813278555231
0.0062739117340691606,0.0006327373748108365
0.0061351355644637074,0.0006491029382266364
0.006165981668499535,0.0007771583169139423
0.006125145711643926,0.0011391946157982358
0.006219375773705043,0.0012891331959725544
0.006284125229149018,0.002319569012210093
0.006245850788893792,0.00221145363654392
0.0062099326109818255,0.0012803961767567866
0.005963825453422345,0.0008291319403085788
0.006033784460186479,0.0007466368850672633
0.006052835991770908,0.0006123086736892067
0.006063799191535957,0.0005975827125610219
0.00594615591964597,0.0006912287996317842
0.005964228050688396,0.0007182097160157526
0.00586129086162026,0.000632070399129179
0.005964399656235932,0.0008774620206806878
0.005850258336999222,0.0007907405430725689
