loss_reconstruction,loss_linearity,lin_dyn_weight
0.6736368811801675,0.12232673612684863,0.2989773750305176
0.2477110516849216,6.718111003111754e-05,0.6118078827857971
0.2056135311922503,2.416274754253894e-05,0.6639307141304016
0.20318059251711132,1.2631833382007346e-05,0.6671784520149231
0.20308869773517027,7.822513778509207e-06,0.6673015356063843
0.20260929326269647,5.386765683726417e-06,0.6679445505142212
0.20275348185214537,3.5198982370406858e-06,0.6677532196044922
0.20256127820577444,2.4672359217678625e-06,0.667996346950531
0.20240413016032918,1.8405978184257316e-06,0.6682164072990417
0.20252654879246576,1.262514836796606e-06,0.668040931224823
0.20238523744546058,9.59340248491986e-07,0.6682242751121521
0.20225799631017782,6.952183372140276e-07,0.668415904045105
0.20223881759688297,7.59230414725739e-07,0.6684302687644958
0.2021138816272925,4.1968316179829477e-07,0.6686030626296997
0.20211743181895955,2.886355039160099e-07,0.6685972809791565
0.20209527291337542,2.76200876123279e-07,0.6686077117919922
0.2019672892368511,1.8213364344026818e-07,0.6687897443771362
0.20201248122284304,2.2347758191024125e-07,0.6687228679656982
0.202077584076503,1.6980815830729675e-07,0.6686480045318604
0.20202519163369492,1.9006088444985168e-07,0.6687098741531372
0.20190118145367414,1.243653274828079e-07,0.6688717007637024
0.201977205060762,1.8338697602007962e-07,0.6687801480293274
0.2018496760893763,1.5378556201019467e-07,0.6689510941505432
0.2018523421188462,1.0943779310471608e-07,0.6689404249191284
0.20183314383029938,9.401940037474467e-08,0.6689653396606445
0.20191509718070402,1.0637456076311774e-07,0.6688593626022339
0.2019618164757941,1.265144282598004e-07,0.6687946319580078
0.2018363757043997,1.3048496746017583e-07,0.668972909450531
0.2018794484895931,1.2880585882371255e-07,0.6688932180404663
0.2017406055419119,1.1063907121893404e-07,0.6691097021102905
0.2017758542586907,1.2297935259477805e-07,0.6690599918365479
0.20177512394199423,1.9841592781061987e-07,0.6690406799316406
0.2018107371579546,2.3644157815672113e-07,0.6690030097961426
0.2017700764432989,2.1856113515978287e-07,0.6690577864646912
0.20180044181385245,2.1651730941366367e-07,0.6690180897712708
0.20179520675228366,1.478660024569053e-07,0.6690194010734558
0.20179506716875226,3.5790792581419565e-07,0.6690235137939453
0.20167328976594093,4.6675134992997313e-07,0.6691880822181702
0.20178291569126836,1.6679294956997544e-06,0.669040322303772
0.20172754717096886,5.964086123540328e-06,0.6691138744354248
0.20168782710709457,2.0038002930356435e-06,0.6691575646400452
0.20168975471012074,1.2971727724088753e-06,0.6691610813140869
0.2016888897636301,1.995076012046616e-06,0.6691805124282837
0.2016256513528466,1.1114535849008183e-06,0.669245719909668
0.20163762345710326,8.616834644325519e-07,0.6692392230033875
0.20169645076462794,2.5357834761601423e-06,0.6691408753395081
0.20165614056683098,1.171147620829015e-06,0.6692222952842712
0.2016448626649284,2.2511798932407877e-06,0.6692067980766296
0.20162978600560819,7.672607588008774e-07,0.6692410111427307
0.20166360972394254,1.0473390799677814e-06,0.6691990494728088
