loss_reconstruction,loss_prediction_1,loss_prediction_2,loss_prediction_3,loss_prediction_4,loss_linearity_1,loss_linearity_2,loss_linearity_3,loss_linearity_4,lin_dyn_weight
1.1802137891451518,1.1887695648336922,1.1876986199809658,1.1849829336648345,1.1830065910534193,4.637665574015453e-09,7.134715229846057e-09,8.874809695248283e-09,1.0350326886056921e-08,1.28848531844028e-09
0.8206699958411596,0.8242857161388603,0.8264395838142723,0.8284699980930615,0.8311543477478848,2.5156329366569155e-07,3.006012602610852e-07,3.4109107582358403e-07,3.8511478653153285e-07,1.63105184469714e-07
0.6671229357360512,0.6751739542971376,0.67900776286279,0.6843872832995589,0.690282392245467,6.547000972419991e-06,7.637699934181704e-06,8.73604232853517e-06,9.752735481484823e-06,2.2622027699981118e-06
0.5662781564138268,0.5743673424566945,0.5767321657109005,0.5803010527805615,0.5855149229367574,6.250679570091237e-05,7.378050162593373e-05,8.707632905595825e-05,0.00010010592262504713,1.4534965885104612e-05
0.48894173195285184,0.4961594557890328,0.49827347904123287,0.5008626753284086,0.5049570295759427,0.0003003337788545797,0.00036312873232408716,0.0004413577237276621,0.0005217576452646084,6.381434650393203e-05
0.4257192656558047,0.43226210212194793,0.43395222515188236,0.4363208996352329,0.44009922621070696,0.000898420267427961,0.0011078793084829724,0.0013759964150727117,0.0016599024961432142,0.00021924445172771811
0.36947627125247834,0.3756573065634697,0.37717290014349003,0.379378137088591,0.3829615718574934,0.0018818241003299913,0.0023414877053069814,0.0029295400330816867,0.003574180907459669,0.0006660809158347547
0.3180142275748714,0.3238268619583499,0.3252597947915395,0.3274020158475445,0.330688202252952,0.0029433164420107037,0.0036072229005156024,0.004473344027315096,0.005451855880598868,0.0018596946028992534
0.2712220216310152,0.27634770158798466,0.27793640058527713,0.2800898112917459,0.282914020681894,0.003651224635040728,0.004387424467632206,0.005360859561391095,0.006435847475684138,0.004670470021665096
0.2302834838628769,0.234138439419449,0.23566494689833734,0.2376201593427248,0.23991101147026145,0.0042582763138637745,0.004972004286584354,0.005935234608509208,0.0069700136420226865,0.010424652136862278
0.1938159933654211,0.19662571898711625,0.19781091809272766,0.19948411324331838,0.20129164748935288,0.004628817250411357,0.005473742046223212,0.0066189099283468335,0.007860943745140748,0.021365735679864883
0.16218229343173324,0.16422702404119635,0.16513645152250925,0.1665847307892256,0.16823977616525465,0.005262830855465064,0.0063294973725112535,0.007728245610030749,0.009435722484223304,0.03980233520269394
0.13531931866240757,0.13658378297282803,0.1373103480505687,0.13863446058765536,0.1401489548465257,0.007165211262882397,0.0083388322663884,0.010014515970983812,0.012333594563026582,0.06780891865491867
