loss_reconstruction,loss_prediction
0.6479569841916313,0.6479569793148876
0.3539922199466012,0.3540527700775801
0.21397834017822637,0.2141198119430831
0.1701704018344783,0.17025365941853635
0.13508915600150523,0.13525445041331377
0.10869746531300271,0.10873308743190284
0.09898222051686309,0.09922048955252677
0.0896571780545543,0.08969829326326197
0.0824101400545952,0.08246521905114755
0.08081085086370558,0.08091566137693547
0.07789716261504877,0.0780480471674842
0.0849810334317612,0.08513805635950782
0.08331408676776018,0.0834919991366791
0.08306776230483745,0.08332025137312886
0.07920663573023447,0.07952727044270898
0.08396119123657143,0.08423988841699831
0.08229707806098341,0.08252878331576133
0.08317963179915842,0.08352139175740958
0.09519285188881235,0.09551014941348773
0.10171868487540318,0.10200835521072651
0.09799101793705815,0.09819158476209801
0.08416796926195774,0.08425512555171344
0.07500671496997377,0.07534556128460952
0.07281821654099808,0.07287038391587711
0.06798928965021063,0.06823973462035761
0.06889733915477489,0.068904616927057
0.05562489791349931,0.05563655941173284
0.05008724648693595,0.05010357147665939
0.04520884683035841,0.0452244737759383
0.04104607700548991,0.04106259382132328
0.03750325672654592,0.03752370607672316
0.034238638186996635,0.034267874797084916
0.03128025842962241,0.03130564629304088
0.028366157466464172,0.02839443621536096
0.026289595924443267,0.026314966640237605
0.024532784875294176,0.024568164332296312
0.02329982997416848,0.023326759762836224
0.022142581553872588,0.022170303567541568
0.020572539756344224,0.020604693819376758
0.01965196305628778,0.019681770474922776
0.019321157221340573,0.019359420025438973
0.017884858050430663,0.017914316656463074
0.017012594286540544,0.01704093970935353
0.016300884969783352,0.016331076606330448
0.04013529531030543,0.0404772564919308
0.027386391734836077,0.02753794109981871
0.03139626729593734,0.03142746347018364
0.022169954124022815,0.022202745935431232
0.01972899983702886,0.019758279535053956
0.01831591599667915,0.018347556959298322
0.01709192222993984,0.01712627946226685
0.016634723369772186,0.01666235172061206
0.015598224115366688,0.01563284005029033
0.01494623429270505,0.014977915630823234
0.01440152696675624,0.01443774417569541
0.014191815775101032,0.014224811095857258
0.013995874067925244,0.01403640973999444
0.013253335160538804,0.013293056253983518
0.013767976764125455,0.013818673009949703
0.013762053640979509,0.013796718978646027
0.01279854509126558,0.012830522930506705
0.01259760395858926,0.01262780062678687
0.012199304591525685,0.012237213322460049
0.012073485182617048,0.012110457631448905
0.012623967638596741,0.012655085596798446
0.012742008393636657,0.012775643842188196
0.012028819949739308,0.012063955841115628
0.011659593883939464,0.011694577018971796
0.011331194744567678,0.011367058348826287
0.01116550712397805,0.01119666398575009
0.011378893409212831,0.011424375807722209
0.012666878959019778,0.012695419090966184
0.01145923282662626,0.011489284786737526
0.011404309853259161,0.011438028624137042
0.010895167055354777,0.0109271481664544
0.01119243137927268,0.01122323948363162
0.011153555644506758,0.011195415624037936
0.011064303411101853,0.011092669669827226
0.010312903071016776,0.010341165504521794
0.009800880628101754,0.00983109661638235
0.010455733633001243,0.010496783903752915
0.01757578555532176,0.017615443918389904
0.014032469916248362,0.01406522209533437
0.011738473314302738,0.011767539474172424
0.011114915427109007,0.011148244244131175
0.010491021076587314,0.010520162667314011
0.009862647872882258,0.009893024159651815
0.011438712199855131,0.011480645535620376
0.010535432626603027,0.01056207294641721
0.0100304719173547,0.010077840055931698
0.01010616683849582,0.010140648003830653
0.010019548034753262,0.010054275180253919
0.010021086341955445,0.010060845422072444
0.010643506469048233,0.010675960604214307
0.024323570979163302,0.024357614642391702
0.021411616345146288,0.021445260056441883
0.029201726572782503,0.029238808441041694
0.040441241055124935,0.04046250708928012
0.02717387721519478,0.027205784123403458
0.03242887052697967,0.032460134675857996
