loss_reconstruction,loss_prediction_1,loss_prediction_2,loss_linearity_2,loss_linearity_3,lin_dyn_weight
1.0303608647928941,1.0328256709463643,1.0348624735070555,1.7415739847227075e-08,3.8272549757344705e-08,1.76223036163492e-08
0.7293668782951048,0.7299136437025646,0.7320115934282341,1.5330937009558884e-07,3.210061200454049e-07,8.398799877795682e-07
0.5925666857085772,0.5938822195833962,0.599396904682953,2.498428172517049e-06,4.495523994317397e-06,9.443107956030872e-06
0.5039712547455858,0.505268861143381,0.5095314691530778,1.6021897376439966e-05,2.9028455168946378e-05,4.829236422665417e-05
0.4417529563775799,0.44333354098684835,0.44687330546795123,5.131750527750576e-05,9.434516494781179e-05,0.0001573352055856958
0.3972002092623871,0.39890293562972307,0.40185785101564137,0.0001192991549911715,0.00022183229471713106,0.000371226022252813
0.36335864615120345,0.3658095491012471,0.36861684018333485,0.00021348020199361264,0.0003944846876465634,0.0007219286053441465
0.33533710649349546,0.33817991730350777,0.34121156826915355,0.0003482590441985818,0.0006407164074730553,0.001252430840395391
0.31076443671380116,0.31381463716494157,0.3169489393298258,0.0005473689076134422,0.0010011559552294295,0.0020401913207024336
0.28778468814472224,0.2909739708740439,0.2942465705359542,0.0008025193024401697,0.001466411302153696,0.003215863835066557
0.2665480323285864,0.2697172734561383,0.27303110801133534,0.0011071916282076964,0.0020427972078323363,0.004907621070742607
0.24606958921723718,0.24941854828956142,0.25282617255345285,0.0014333148730681247,0.0026464490182447754,0.007386083249002695
0.22692650052525054,0.2302459259161213,0.23360572085284548,0.0017753115561384483,0.0032848780737227243,0.010810830630362034
0.2088584604279307,0.2124126896762208,0.21589218770097565,0.002101574828160689,0.003872684134332926,0.015496575273573399
0.1921552947703624,0.1957957410172328,0.1993800220873532,0.0023777636130584167,0.0043842061304006,0.021610582247376442
0.17734416063199906,0.1809855992362003,0.18454155489902369,0.0026133646951025766,0.0047759825851293215,0.0290208887308836
0.16427747449218827,0.16783411742856838,0.17147339574442613,0.002911579078875932,0.005263796093679915,0.037658147513866425
0.15182184522984013,0.1554822212897691,0.15917065351601414,0.0030092112720012665,0.005430558873903031,0.04829025641083717
0.14062668363119932,0.14426332512157874,0.14788152147459505,0.0030446955321619174,0.005413017676980703,0.06034690886735916
0.13030178262883385,0.13394742764082532,0.1376036704786672,0.0031247078322324175,0.005487737639638402,0.07416324317455292
0.12083871379594675,0.12444722860451513,0.12800814481389602,0.0031277741936829267,0.00540328204331782,0.08955197781324387
0.11235975287104613,0.11596125164288003,0.11951349229620607,0.0033887947140724068,0.005728563791353431,0.10614404082298279
0.10388305385240773,0.10752751683228767,0.11113735661410645,0.0032728835640337644,0.005478708316015717,0.12560684978961945
0.09616535037955981,0.09964992463988746,0.10326366552570522,0.00331995394705926,0.005492698836246593,0.14655280113220215
0.08897148043717314,0.09248229273213636,0.09607326688382449,0.003291125115532203,0.005359789314086005,0.16920442879199982
0.08223448967773642,0.08574391731479825,0.08926655030090537,0.003334415381486784,0.00538002924631106,0.19356222450733185
0.07591942858775991,0.07946749197556668,0.08298021754962485,0.0032085515008676772,0.005152206512905607,0.21954360604286194
0.07038015295195099,0.07372490143615927,0.07711150614207223,0.003353898822261183,0.0053134657542577525,0.2452642023563385
0.06519037605132033,0.0685092357981125,0.0718575249582329,0.0034822543345441755,0.00546217893794079,0.27201512455940247
0.060258682407188735,0.06360002500098824,0.06689665741568444,0.0035430045435892654,0.0055771626182050515,0.3002620041370392
0.05548470485830467,0.0587677510792777,0.062078687808657655,0.0032731839649429257,0.005215584061689825,0.3302617371082306
0.05155502258231176,0.05471168908496831,0.057874833337412585,0.003264744312271176,0.005173107356633116,0.35720521211624146
0.048005493840315196,0.05101490656801518,0.05408153585939599,0.0034181674954875205,0.005388746425609461,0.38346028327941895
0.04444814839419103,0.04753643586331566,0.05058251587336495,0.003276180770973231,0.005187309668368141,0.41169795393943787
0.041566591914868195,0.044515824557950834,0.047470476883369805,0.00334739955329655,0.0053011713762011305,0.4360682964324951
0.038903864963142666,0.04177688380215792,0.044752271063375794,0.003262471042623456,0.005160731197203566,0.4598829746246338
0.036466904349575106,0.039308615178869875,0.04215254783630371,0.003226012116510596,0.005101421070378899,0.48284322023391724
0.034198193912138075,0.03701736446995063,0.039821582192542566,0.003106168417522571,0.004968231321381243,0.5052028298377991
0.03238913833894986,0.03509811242954843,0.03785717843362949,0.0030758226877890976,0.00489062198856533,0.5238012075424194
0.030724647906202596,0.033357402662302825,0.0360593369743168,0.003103359311119022,0.004958764138637773,0.5415306091308594
0.02925411005498179,0.03185049259422609,0.03445647346893413,0.0030899437106895766,0.0049597625364393196,0.5576513409614563
0.028050010271320407,0.03061289159243539,0.0331772295820633,0.003206526368056368,0.005058765416377343,0.5712218880653381
0.026564113973271127,0.02911997669495192,0.03170878103115415,0.002956566607092051,0.0048180203059775715,0.588433563709259
0.025332648207077244,0.027841889458214676,0.030419068608508015,0.002712879889963457,0.004510304961828577,0.6030851602554321
0.024543560633823375,0.026980341020846527,0.029497842340661374,0.0028127181099965267,0.004609335138893767,0.612665593624115
0.02386546828252757,0.026247108322661996,0.028680059973825545,0.002855994407362586,0.004640719599571804,0.6210302710533142
0.023176063189670543,0.025485949748314467,0.027909252507574606,0.002823246822961225,0.004704331646629628,0.6296431422233582
0.02219929977401391,0.02447710781289427,0.026881825983924353,0.0026690301729128665,0.004477739424113459,0.6420215964317322
0.021555383140908792,0.0237541103323034,0.02613076971681326,0.0025102020410083282,0.004263054229469107,0.6503121256828308
0.021046961448936655,0.023201110018979784,0.0255126600497521,0.0025196146419984382,0.004197340583641257,0.6569570302963257
0.020498600842168667,0.02264240628120883,0.024904749517472798,0.002493613358312005,0.0042014422132664875,0.6641703844070435
0.020152127050213367,0.0222042171947108,0.024406045935297972,0.0024606442216458736,0.004184683192296316,0.6688001155853271
0.019868097909344924,0.021790012497229862,0.02396390514085757,0.002560629688153331,0.0042802420538543854,0.6726065278053284
0.01941975857937496,0.021352393975193867,0.023478953490321267,0.002552184217528209,0.004245339173998609,0.6786637306213379
0.018871279380865545,0.02083130358849596,0.02300263783275681,0.0024183752277753497,0.004166770366414281,0.6861346364021301
0.018371901483643774,0.020307173904956587,0.022518559350263354,0.0022600531453054224,0.00393540622703981,0.6929721236228943
0.018097147623064535,0.019990141359751655,0.022178059316321507,0.0021838081163047945,0.0037918590559255358,0.6967875957489014
0.017775702674016857,0.019651791693380216,0.021757339291124535,0.0021744409688567155,0.0038047590111726084,0.7012615203857422
0.017637864285267438,0.019455849884340428,0.021523697464258078,0.0022079787148325237,0.003842300506646201,0.7031973600387573
0.017383846025538923,0.019133624054441516,0.02119734787300929,0.002202508613567224,0.003818371591952023,0.7067709565162659
0.01703509563367639,0.01872620928607531,0.020750426846062577,0.0021328751822846047,0.0037523290454941306,0.71169513463974
