loss_reconstruction,loss_prediction_1,loss_prediction_2,loss_prediction_3,loss_prediction_4,loss_linearity_1,loss_linearity_2,loss_linearity_3,loss_linearity_4,lin_dyn_weight
0.8124661817345568,0.8171968581855938,0.8159000976111299,0.8164378334117192,0.8188700304236464,3.4193358375495244e-06,5.030277355670123e-06,7.2412826533222944e-06,9.78296494238617e-06,5.403425802796846e-06
0.4389626505554363,0.4438531273795712,0.44563452338659637,0.4474093346826492,0.4503218012471353,0.00016894261751722003,0.00020833152470864876,0.0002581165677173719,0.00032344558978796267,0.0002540713467169553
0.2984617283587815,0.30277780066895227,0.30422244773757073,0.30571866115575197,0.3069708813582697,0.0013717573827072497,0.001653311042470597,0.002045583898722324,0.002512237258626008,0.0033505132887512445
0.19306947659420712,0.19625474544622565,0.19761607868056144,0.19927485671735579,0.200953165049194,0.002969692095673533,0.0037324582251609976,0.004747832191467125,0.0057978247722951315,0.02409818023443222
0.1245233041624869,0.12648745225642316,0.12726879095838917,0.1282952124232887,0.12953253250609162,0.0037219055067066863,0.0051146904932915845,0.007101325107918632,0.009311761662003494,0.08847962319850922
0.08389554244856681,0.08508812652159763,0.08554484959571593,0.08636490407810417,0.08746595712759161,0.004376815261459479,0.00611007284192789,0.008785747101790803,0.011969167849309343,0.19185028970241547
0.06559370033523088,0.06631378793428021,0.066502380355071,0.06708816110446889,0.06793389229043838,0.004661086077992154,0.0063415361137720205,0.009151268269746535,0.012642089127292555,0.27408385276794434
0.05656002017278825,0.057070936607096785,0.05713558938073855,0.0575326314216019,0.058104046890812534,0.004504272721767906,0.006146937483541106,0.00885797066674117,0.012270160850578098,0.3273860812187195
0.04957498834338239,0.050272572344990184,0.05053274509727314,0.05119502804772828,0.052048724745550466,0.004264418381236253,0.005882425444020379,0.008505412762964605,0.01175862399520733,0.37542325258255005
0.046227898168307476,0.046697978851615744,0.04682050248788249,0.04738618265236578,0.048112596996048446,0.004073674662879879,0.005624566692858934,0.008113174233585596,0.011261452760507343,0.4013047218322754
0.04471184998270004,0.04511877561929405,0.045206275758563834,0.04565806730940778,0.046245090423091766,0.003962386734983934,0.005531744625900061,0.008012626780777849,0.011074718889049304,0.41496542096138
0.04266243836572094,0.04315550352937432,0.043397744456606525,0.044143707040817506,0.04494227957661434,0.004029182056265492,0.0055972505561126176,0.007992853851167745,0.010999470168063718,0.4311463534832001
0.03842279062636437,0.03887646537153951,0.039140180314099916,0.03984495360524424,0.04060051914665007,0.0037623754657444453,0.005350023382894134,0.00760503967482877,0.010405124024918644,0.467631459236145
0.03753997205245879,0.03798077808272454,0.038296826704535436,0.0390057256144862,0.03983173170878041,0.0038269491145207037,0.0054450357252711894,0.00759947954386633,0.010319581966326442,0.47679272294044495
0.035764319381566455,0.03594979860128895,0.03631984869078282,0.037248656974845036,0.03821634721531663,0.0038397032617320938,0.0055575555100316,0.007626970273552722,0.010301335494444576,0.4930199980735779
0.033918419632539956,0.034024613138328316,0.03433129609993068,0.03515690743362391,0.036271259709391546,0.0039204202707536434,0.00574999675154686,0.00782226107173389,0.010507139247111094,0.511573076248169
0.03426270533393147,0.03435341338877396,0.034580734828787464,0.0354269835296818,0.03650721869561621,0.0036559904029252388,0.005434921351812219,0.007437150670035231,0.010100082173863406,0.5083488821983337
0.0320640059127923,0.032077905591777575,0.03234049435504662,0.033302961538235344,0.03435710799549856,0.003562759630562317,0.005379609903821381,0.007450307459039714,0.010182610417525936,0.5301591157913208
0.03146503352990714,0.03151855083002198,0.0316802576104159,0.03241655875438003,0.03335790223972772,0.0033310752797631486,0.005031566728927916,0.006844360816983446,0.009348838845448147,0.537237286567688
0.030450783389550384,0.03052060402208759,0.030692516014941277,0.031485683915595856,0.032464939840538526,0.0033233864207862203,0.004974262956629998,0.006766959078489772,0.0092815727305909,0.5476257801055908
0.029860508578118457,0.02989019060968071,0.02994255881796601,0.030612737220782105,0.03153996770420382,0.0031696209553829444,0.004804870048637992,0.006462215931625456,0.008804977851449161,0.554391086101532
0.028506201922252613,0.028517908126276026,0.028657201276991957,0.02938715072088344,0.03026740501324336,0.003027360237914548,0.004595162279363121,0.0063958045505788375,0.008821075401639426,0.5686453580856323
0.028517095692535882,0.02851242960620952,0.028665541741316036,0.029361277137712766,0.030255123612380797,0.0031406854314389087,0.004685546924930907,0.006242163649569916,0.00846195427240223,0.56914883852005
0.02785227812265837,0.027850495270823918,0.028003690924535515,0.02863221573493173,0.02951908928732718,0.0029834180154026516,0.0044732766416204234,0.006123347688586482,0.008410818629487548,0.5767433643341064
0.026532090519384672,0.026508302117387455,0.026653266541900172,0.02730957969462359,0.02820749070134855,0.0029091017636200113,0.004383297574516105,0.00601330483632703,0.008334316213124542,0.5915582180023193
0.02622058348710178,0.026204444327822294,0.026330382893643072,0.026979905202664356,0.027850668136310833,0.0028109084038684764,0.004229859393891147,0.005779285194172013,0.007933171656263132,0.5953173637390137
0.02578035019017676,0.02577851666638287,0.025809315343697865,0.026453810774030223,0.027285095224136947,0.002779079345805991,0.004193982154491448,0.005720791351851276,0.007789738140799986,0.6003522872924805
0.025417166732011304,0.025363504606229003,0.025494809472753156,0.02616346367104079,0.026955980266774853,0.0026943230681041237,0.004062236732332617,0.005621555151157482,0.007712850267047523,0.6047250628471375
0.02490194943002475,0.02482289600596633,0.024933307661965328,0.0255392801056626,0.026352887031852557,0.0027312317848085395,0.004146726514082602,0.00570440272830667,0.007884239397382224,0.6113287210464478
0.02362214990200535,0.023653067508211698,0.023725539145450437,0.024309828156425108,0.025077859540620157,0.0026147823019694256,0.004022335530989753,0.005369631268124106,0.007271261630399573,0.6261902451515198
