loss_reconstruction,loss_prediction,loss_linearity,lin_dyn_weight
0.7218558879384407,0.7230269848980788,0.009142950739466128,0.005940205417573452
0.18436816790148655,0.18592902502649272,0.014571298121027748,0.19288596510887146
0.09142757368950678,0.0924217248729982,0.006994916061214084,0.4097118079662323
0.07111686765748118,0.07198747908621626,0.005505792822828641,0.4956219494342804
0.059930935991433607,0.060820507769530324,0.004972739112700758,0.5521564483642578
0.05158990238051632,0.052293943286181775,0.004457464792463559,0.5991618633270264
0.04623577336283855,0.04702756724672407,0.004923055652558963,0.6315879225730896
0.04140904139297897,0.04239635206459355,0.004855863043998466,0.6625153422355652
0.03674636262870985,0.03771618004618637,0.004011917248213459,0.6937674880027771
0.034798296448093,0.03560069257308587,0.0041028574551018725,0.7074262499809265
0.03053237919273709,0.03121049944860686,0.0033067910558726367,0.7379429936408997
0.02808360398394972,0.028644562626492242,0.003313413955366124,0.7560017108917236
0.026936364647290663,0.02742601029734669,0.0029385687462516108,0.7647162079811096
0.02563058591919674,0.026153721629414737,0.0026011716152463935,0.7747820615768433
0.02402563299234687,0.024574651365385617,0.0027230601494347842,0.7872143387794495
0.024266575610429927,0.024904350912443116,0.0029567685739783915,0.7853516340255737
0.023530376855353887,0.02419357147597116,0.002600802240666032,0.7911627292633057
0.02299276148605762,0.023667426145668004,0.002728072121794318,0.7954099178314209
0.02171795977024866,0.022347918858916446,0.002341681770198846,0.8055239915847778
0.021829559944629987,0.02258476116582152,0.0028195528693661974,0.8047410845756531
0.01973676021852538,0.020222813580135238,0.001910193028033339,0.8215217590332031
0.01952427004940868,0.02007718481642791,0.00196832033553368,0.8232519030570984
0.018874320698447584,0.019494412796466982,0.0018914839878288814,0.8286654949188232
0.017964939192316967,0.01846177248788583,0.0016699008573091343,0.8361210227012634
0.017474480080680456,0.017926533743938877,0.00155320674762749,0.8402400612831116
0.019128057531433196,0.01994610363093202,0.0020221970387392404,0.8266403675079346
0.01759035258876015,0.018271097838479137,0.001743463964773287,0.8392410278320312
0.017541575382885602,0.018180441118816747,0.0016517663900752929,0.8397212624549866
0.016950452710244673,0.017708776755902628,0.0016171850870181144,0.8446477055549622
0.0165921093711265,0.017243119525965352,0.0015153894166589463,0.8476665616035461
0.01592774947371144,0.016556705155936706,0.0014731713288823197,0.8532877564430237
0.01560931852032448,0.016279764700651008,0.001404532070031974,0.855973482131958
0.01581803848093061,0.01657542892938964,0.0014950676113317143,0.8541993498802185
0.014795851466762796,0.01541312695817957,0.001330701687657861,0.8629144430160522
0.014394086873004008,0.014967305972752719,0.0012560542919435825,0.8663865327835083
0.014277040781128663,0.01483839514338219,0.001230144427262806,0.8674485087394714
0.014956415481066417,0.015698410041290696,0.0014059107109901793,0.8618451952934265
0.014647981209365836,0.01537295597687803,0.001327286824589001,0.864317774772644
0.014148633055708524,0.014923600689695284,0.0012415720417661138,0.8686375617980957
0.01459916827865644,0.015458280153213013,0.0013374832946302783,0.8647461533546448
0.013822394153527696,0.014559144628591257,0.0012305978095426098,0.871368408203125
0.013453747567798113,0.014257926266670386,0.00119600293785833,0.8745833039283752
0.013054690071588866,0.013779495116173423,0.0011629355224298849,0.8780394196510315
0.012520507861917524,0.013264152156463737,0.0010740010583730809,0.8827872276306152
0.011994176818901827,0.012653448933550724,0.0009788934377973385,0.8873221278190613
0.011446722992883131,0.012037455481314787,0.0009169576234863346,0.8921656608581543
0.011094803687175062,0.011645127727023398,0.0009136749793533186,0.8952772617340088
0.011405768729346847,0.012143605109054505,0.0009796834004925559,0.8925561904907227
0.011901227158092302,0.012758835840560796,0.0010401196584315226,0.888187825679779
0.011326941691498813,0.012046105410634033,0.0009638887891563369,0.8932481408119202
0.01101500762941131,0.011790882566339528,0.0009301322778866654,0.8960170149803162
0.011402974644271362,0.01235209255611609,0.000971180151045652,0.8926320672035217
0.011197610900565064,0.0121416032099572,0.000962241767498667,0.8944414258003235
0.010537806096868765,0.011227967821800676,0.0009138745453331031,0.9002984166145325
0.010415027489830758,0.011247698901765468,0.0008949218990453507,0.9014410972595215
0.011117509671114885,0.012022332165979508,0.0009939106803602132,0.8952033519744873
0.010162580301410871,0.010906312931778444,0.0008454811487761364,0.9036944508552551
0.009288207826331937,0.009948144524530494,0.0007728016645030865,0.9115174412727356
0.009988606507932372,0.010862822954021094,0.0008617538747180443,0.9052583575248718
0.009560467917522061,0.010245701198243903,0.0008001240353747933,0.909130871295929
0.008761401587832549,0.009379043376158134,0.0007197380420313674,0.9163085222244263
0.008912233756880099,0.009672607315189877,0.0007423550969154521,0.9150197505950928
0.009204554603742211,0.009871032156409752,0.0008045170673396408,0.9123414754867554
0.008728238534252222,0.009421949065103128,0.0007362881553329367,0.9167882204055786
0.009129857797994611,0.009956641582117962,0.0007819012083655008,0.9132080078125
0.009141150538637316,0.009923165745224215,0.0007865236188539731,0.9129790663719177
0.008923741419557433,0.009764465006522774,0.0007816124290799668,0.91488116979599
0.008603153310855975,0.009413434459700502,0.0007494877076310783,0.9178521633148193
0.008719239609900252,0.009452090737217632,0.000774165009018583,0.9168709516525269
0.00863064601692813,0.009443277339563372,0.0007030082004826426,0.9175952672958374
0.008529832449319695,0.009194693181054522,0.0007161501477954375,0.9186104536056519
0.00774219210806425,0.008332917084742647,0.0006449423547323554,0.9257140755653381
0.007497030583737124,0.00810819669644131,0.0006468752242253979,0.9279203414916992
0.008506703783505803,0.009431012517874985,0.000773910670722248,0.9188809394836426
0.00846691635479756,0.009218612301285721,0.0007366860182718661,0.9190981388092041
0.00791793295878907,0.008639662532790018,0.0006748393482913141,0.924186646938324
0.008109571047666565,0.009049440779031602,0.0007553916978031826,0.9224923253059387
0.007358591711453234,0.008009727759631326,0.0006238690548733716,0.9292718768119812
0.007087990204646345,0.007756778592088986,0.00061120412581795,0.9317774772644043
0.007014371503404174,0.0075576809963995425,0.000580539785034645,0.9324551224708557
0.007053727426393901,0.007721390239345084,0.0006166236508193229,0.932110071182251
0.008046610892598016,0.00907763864485492,0.0007552359564961421,0.9229820370674133
0.007666312522646888,0.00844186793103934,0.0006790931420694118,0.9264541268348694
0.007501381148531753,0.008300987358177555,0.000647999934653,0.927998423576355
0.007024308162224517,0.007744027659966143,0.0006171439316475779,0.9323365688323975
0.00770092379531496,0.00873120177422348,0.000759139806909197,0.9261873960494995
0.007421416883424284,0.008276559829452242,0.0006648842115036334,0.9287247061729431
0.006140799749762459,0.006714384639560777,0.0005464014230045083,0.9405564069747925
0.005714334604947081,0.006128864336619029,0.0004733719479263917,0.9445489048957825
0.005587147341556747,0.006019349342296974,0.0004723394624657939,0.945759117603302
0.005812526201135192,0.006313969010372344,0.0004798729236714602,0.9436514377593994
0.0071126272210267055,0.008054259887349669,0.0006541168341699029,0.9316853880882263
0.007566858923197512,0.008585024738669315,0.0007256966719532451,0.927414059638977
0.007114581238158826,0.007810983286256685,0.0006195801787294358,0.9316343069076538
0.0070570279736740975,0.007882274995650347,0.0006458505475643932,0.932129979133606
0.0062979891591632975,0.006978974087118863,0.0005904466053283705,0.9391248822212219
0.006117387717195235,0.006776903672318596,0.0005561765065652646,0.9408126473426819
0.005668760345994068,0.006168979009109033,0.00047754690808870755,0.9449989795684814
0.005522902605520816,0.00613586130694314,0.0005002263247568519,0.9463539719581604
0.005590536802677543,0.006128376088886654,0.00047121621089695327,0.9457351565361023
