loss_reconstruction,loss_prediction_1,loss_prediction_2,loss_prediction_3,loss_prediction_4,loss_prediction_5,loss_prediction_6,loss_prediction_7,loss_linearity_1,loss_linearity_2,loss_linearity_3,loss_linearity_4,loss_linearity_5,loss_linearity_6,loss_linearity_7,lin_dyn_weight
0.9225600710621586,0.967986445314555,0.9597398443254156,0.9432817831585303,0.9301698453498609,0.9191175640632809,0.9167514223040957,0.919237438034931,5.499478128630986e-07,4.2003279859185026e-07,4.466867382620335e-07,4.6669931248454494e-07,4.756417897493012e-07,4.851685516991771e-07,4.858066565408235e-07,1.0434025909944467e-07
0.6656919649153045,0.6749152279863454,0.6646851761172516,0.6616242431229614,0.6608760499793672,0.6613845439872357,0.6626617666045423,0.6649696854228524,5.656643055288454e-06,5.4000175485712e-06,6.3235515118882325e-06,7.073932373092701e-06,7.750250882020703e-06,8.296346915525193e-06,8.728558731971697e-06,3.6053343137609772e-06
0.5216081206646029,0.5330165448814932,0.5367092354129059,0.541237704601352,0.5459663647995252,0.5495240680296413,0.5520242755260532,0.5542413640905309,1.0189426204845034e-05,1.2861177880279343e-05,1.619616969251811e-05,1.9550292775417467e-05,2.2702688341082298e-05,2.571109377368281e-05,2.8579079672248927e-05,4.252474172972143e-05
0.4321228417884621,0.44257808293557727,0.44564115575668384,0.4508685856957227,0.45708471195464984,0.46325299137770526,0.46892117651223336,0.4745444355588971,6.498802313737897e-05,8.554785560992129e-05,0.00010873420949498511,0.00013222393606435068,0.00015480827645207395,0.0001755902183834802,0.00019450958297660055,0.0002111839276039973
0.3675855141898197,0.3796650568644206,0.3827130523193565,0.3866109742058648,0.3905234770341353,0.39439414117472743,0.3985523914247249,0.40322682608659016,0.00022479169421926493,0.00029272799213928,0.0003790496594526551,0.0004687648228924684,0.0005547747975497535,0.0006340840179159585,0.000706355328285935,0.0007027652463875711
0.3208889951810291,0.33360857176860975,0.33719157819394713,0.3404940190941396,0.34442286603779904,0.3479249828993672,0.35169073226877334,0.3556385537992022,0.0004996867982125042,0.0006359666924584996,0.0008198433176234916,0.0010101870066088056,0.001194615939299667,0.0013659218545714613,0.001520253966252009,0.0017151973443105817
0.28694844851991547,0.30008650644861085,0.30358320775658193,0.30649352218165543,0.31002608662101155,0.31277138649012504,0.31609520013083514,0.31980301763874913,0.0008891862901774319,0.0010931829222625353,0.0013930343016229495,0.0017075539713957495,0.002018935821624316,0.002314859545893139,0.002583703195506876,0.0033248160034418106
0.2597987440098014,0.2737395344358502,0.2771511506552648,0.2797864347194582,0.2827397381817853,0.2851221380008993,0.28822000612714876,0.2917740772067497,0.001305592573100469,0.0015521328168786334,0.0019378698810383125,0.0023537048286059086,0.0027733837790561446,0.003180384003754818,0.0035582347650720617,0.0056755137629806995
0.23719899508888875,0.2515766322010695,0.2552331531087959,0.2581515437424785,0.26070128289938777,0.2626122895314637,0.2651990168022387,0.2682550934428719,0.0017215959414187505,0.001982750561753106,0.002409006048131872,0.0028865375603088226,0.003385139056026735,0.003881953827259115,0.004352792304774326,0.008864885196089745
0.21756769708712093,0.23217977594446254,0.23551686636927954,0.2387857811218159,0.2415582957091155,0.24350588393933845,0.24592351431798454,0.24862219749476372,0.0021317408366837483,0.002373443684393308,0.0028104151890735434,0.0033130874838491883,0.0038471973278506435,0.00439148625039091,0.004925803830125918,0.013074616901576519
0.2002623317217586,0.21502918522767347,0.21809388892819184,0.2213439031080766,0.2242726252135203,0.22639169002622866,0.2287674899053092,0.2312986165184766,0.002661069658167836,0.002891944022692414,0.003334706234008776,0.003838305513967167,0.0043810334897001185,0.00494476394219832,0.005506190376651006,0.018439361825585365
0.18404347666786977,0.19930893917276402,0.20217446462072508,0.20520850191212664,0.20799805018235537,0.21017471868983825,0.21253250199134904,0.2149387412601047,0.002948087983159505,0.0031148484158596205,0.0035042080263096072,0.003938254681400177,0.004405737327104466,0.004909405965194959,0.0054360790033934495,0.02545258216559887
0.1699266667819585,0.18517894776983293,0.18780562885682592,0.19061112773137462,0.19320271472738246,0.19530592044997294,0.19755353718895705,0.19979313471501925,0.0031858115284531204,0.0033202716096081717,0.003648081722885671,0.004000906887078526,0.004386538327342332,0.0048006594507180485,0.005234043174721175,0.03372383862733841
0.15748971625409944,0.17250416945126723,0.17502011899594908,0.17758787071664728,0.17988674648683078,0.18183542341495604,0.18391265291156192,0.18599330503932554,0.0034668900323435916,0.0035545721599951337,0.0038560409738559918,0.004163199600446907,0.00447848689827052,0.0048187749554412535,0.005164340263866013,0.04321170970797539
0.1455859560958464,0.1609341602132778,0.16349140000263046,0.16579937629828148,0.16785268783569335,0.16960389365250816,0.17149318284057205,0.17342933002947156,0.003621657634222949,0.003689800167725945,0.0039497457093462,0.004210639273377782,0.004469357084746313,0.004734887915227549,0.004999784809170347,0.054770030081272125
