loss_reconstruction,loss_prediction,loss_linearity,lin_dyn_weight
0.36044404789525764,0.3563084465728688,0.005145037910715074,0.011294509284198284
0.17373862429134967,0.17424722978640497,0.011746458996376946,0.04489453136920929
0.09922758082362346,0.10106846740114785,0.021404284491995225,0.14851175248622894
0.07440739125013351,0.07630294137921474,0.014862823739508042,0.23282383382320404
0.062114784379187604,0.0634668959709179,0.009583901750028693,0.29366445541381836
0.05421959670714974,0.055245094670447206,0.006297849037562155,0.34211277961730957
0.04879044481720426,0.049596136111276716,0.0046728688077476805,0.38043540716171265
0.04477938391448026,0.04543418788798054,0.004012762175638219,0.4116443693637848
0.041462681158857755,0.04194217539784416,0.0036687191180015937,0.4393722116947174
0.03878750524236434,0.03918003429716138,0.0035952058478430833,0.4632660746574402
0.03649629294952183,0.036864628790610594,0.003752224338328311,0.484693318605423
0.034494610188713665,0.03478546652333666,0.00366823261556273,0.5042840242385864
0.032850067762922666,0.03319064425379437,0.0041115442702881295,0.5209639668464661
0.031044570868959696,0.031336956335376476,0.004021194953865923,0.5398821234703064
0.02922260149534362,0.029382906025200682,0.0038160998392950036,0.5597850680351257
0.028221898589872483,0.028386476052670313,0.0038842122724664276,0.5709683299064636
0.027118115543560112,0.02732109169078736,0.00407827428439707,0.5835235714912415
0.025997620330619108,0.02630518315904262,0.004085268079984843,0.5966790318489075
0.024748028423287594,0.024958731596615297,0.003685091426795793,0.6116283535957336
0.024252955314900536,0.02443377983733892,0.0036676758282316035,0.6179019808769226
0.023192199855923013,0.0233368113756819,0.003581101865689932,0.630759596824646
0.022413651805980275,0.022661180123087547,0.0034294813164776994,0.6405810713768005
0.021913775345235663,0.022135282120100616,0.003420561427829772,0.6469272971153259
0.0213235811937111,0.02147963427346769,0.0033165163306853964,0.6545389890670776
0.020921771357150565,0.021047817438281574,0.0033932579044582216,0.659762442111969
0.02027698005512157,0.02033716136085284,0.003253195564020375,0.668296754360199
0.019812031611600445,0.020010909789688787,0.0032465117808740994,0.6744353771209717
0.019327288683274157,0.019487064851113362,0.003040024396481527,0.6809466481208801
0.01905715896500819,0.019248022715343868,0.003281530038386224,0.6846404075622559
0.018609486045890137,0.018779144689800274,0.003134675775267603,0.6907575130462646
0.017943927908351212,0.018070968105170587,0.003025455967131153,0.6999602317810059
0.017515446780993534,0.017638564354492896,0.002937184549972974,0.7058314681053162
0.017157859361203683,0.017299166036614945,0.0029302638875515308,0.7108259797096252
0.016867296123532605,0.017101204017771474,0.0029855722776207143,0.7149516940116882
0.016686644460057125,0.01688354489351086,0.0032481706711206455,0.7174891233444214
0.016215063529164,0.01642545069700192,0.0030911786871245656,0.7242383360862732
