loss_reconstruction,loss_prediction,loss_linearity,loss_contrast,lin_dyn_weight
1.4346845175561573,1.432826960694055,1.7167314222611125e-10,1.7358593255271774e-05,1.481845895989764e-11
1.1305555277791164,1.1284197738279287,2.2211281143190212e-09,6.521715689126693e-06,4.455570079553439e-10
0.9843236920661006,0.984626539111457,9.445466602489833e-09,5.8450623937679925e-06,5.471456177019718e-09
0.8874877700856799,0.8897352952100637,3.5435816368801085e-08,5.159317027394246e-06,3.064674913844101e-08
0.8128676863522056,0.8141932385217089,1.3313454349923539e-07,5.1952001801531995e-06,1.1461344229246606e-07
0.7591354222144262,0.7604951219328606,3.438398023330343e-07,5.1463060290505856e-06,2.966377508073492e-07
0.7148311353880343,0.7160851185187578,7.986586523347357e-07,5.109294820015897e-06,6.848495672784338e-07
0.6767123528523995,0.6777275217442347,1.6853289710234973e-06,4.898604186323232e-06,1.4221328683561296e-06
0.6438589414067307,0.6448708521776481,3.194890879587337e-06,4.597623617288122e-06,2.6834270556719275e-06
0.6151176500895708,0.6163861056435204,5.639881146147497e-06,4.430068225218901e-06,4.722926405520411e-06
0.5895294671723414,0.5907960435021019,9.165252362650721e-06,4.317132643531729e-06,7.820369319233578e-06
0.5665794190708497,0.5680406242209529,1.4205033437062701e-05,4.20405608894662e-06,1.228510336659383e-05
0.5457176003635089,0.5474464755914805,2.122335740933588e-05,4.080955699435279e-06,1.8577064111013897e-05
0.5269493521378443,0.5287675838368189,3.191126169642776e-05,3.935708612860268e-06,2.6962045012624003e-05
0.50934915664049,0.5113083864025392,4.653261791326071e-05,3.7468668551200388e-06,3.828767148661427e-05
0.4927749720079969,0.49477218335179796,6.68462534519674e-05,3.6107225992725277e-06,5.320301352185197e-05
0.47704326627081906,0.47895985090700616,9.45888834599101e-05,3.4743862571686724e-06,7.277727854670957e-05
0.46144471611158455,0.4634625034421762,0.00013224304087700985,3.3704451745394797e-06,9.933845285559073e-05
0.44634902788870456,0.44843015306436984,0.00017998024551934454,3.259669045989318e-06,0.00013416357978712767
0.4316017125950422,0.43373773308925273,0.00024426232926028183,3.171092348127264e-06,0.0001800993486540392
0.4171463730507817,0.41937145590782166,0.00032763746279933497,3.0833789289815212e-06,0.00024017466057557613
0.4028914097007414,0.40509414329285914,0.00043520656276691515,2.9868194431172004e-06,0.0003192314470652491
0.38887185050079714,0.39107583275429364,0.0005672046045170992,2.910665029263259e-06,0.00042225976358167827
0.37521110766694626,0.37737899946782927,0.0007300921751688117,2.8580712536563684e-06,0.0005544886807911098
0.3616248088771472,0.3638373773954509,0.000926641098488292,2.778296802180364e-06,0.0007271321373991668
0.3483021369568464,0.35051416344041797,0.0011603584155395388,2.7121207418121775e-06,0.0009485739865340292
0.3351854920067672,0.33745775106125797,0.001427798428018415,2.6640950045353703e-06,0.0012332869227975607
0.32211419836126126,0.32441633739995573,0.0017193593003664756,2.631510703051375e-06,0.0016007028752937913
0.309483198953378,0.3117742491311746,0.002033894402836387,2.609361179970656e-06,0.002060254104435444
0.29714227769394025,0.2994608378122703,0.0023951877093307135,2.593504715289614e-06,0.0026364328805357218
0.2850355275834214,0.2873594291088728,0.0027902409204608953,2.5973822100140823e-06,0.0033569226507097483
0.2730649895866179,0.2754233052839223,0.0032137999524569625,2.5774037178403942e-06,0.00426520174369216
0.26128635241902226,0.26364095537016924,0.0035564230596421952,2.5496133324503994e-06,0.005396747030317783
0.2500929537231737,0.25246879342573897,0.003933383561371159,2.5647976476294624e-06,0.006750563625246286
0.2393047332204379,0.24157548034638565,0.004328987481267299,2.566860325531641e-06,0.00837306771427393
0.22897733779918733,0.23114698170497014,0.004769793967529133,2.633117677170236e-06,0.010293133556842804
0.2187070743487923,0.22107451550922189,0.005190229390425753,2.8344603835048915e-06,0.012642093002796173
0.20857750398703617,0.21096686064078404,0.005380167786890875,3.05939668629708e-06,0.015473201870918274
0.19938320097271303,0.20177230590470036,0.005690182223366748,3.331833448676396e-06,0.018595103174448013
0.1904723777687901,0.1927596668215923,0.006061127710208576,3.611239479985319e-06,0.022226346656680107
0.1812277021580663,0.18367897085945345,0.0061753076843258205,4.001091149464033e-06,0.026733379811048508
0.17278933736817767,0.1753341083791876,0.00630078316808506,4.4480271575857425e-06,0.031630177050828934
0.16513567152195896,0.16756480736483198,0.006576049824472486,4.875137276016098e-06,0.036861296743154526
0.15729281945458687,0.1597784122816679,0.006594120700851123,5.145050313123755e-06,0.04311417415738106
0.150080790468579,0.15244157120944987,0.006722178886926685,5.082162831373211e-06,0.04980950430035591
0.14301313627661075,0.14544812815598446,0.006611312713334212,5.005100749121872e-06,0.05735290050506592
0.13651414291468766,0.13887991162950808,0.0065853493275675155,4.966678181088492e-06,0.06530004739761353
0.13067885578158075,0.13287859360110663,0.006795890588093619,5.127872993920142e-06,0.07337711751461029
0.12475342730974065,0.1269461278062084,0.006884676073465606,5.2358160227006265e-06,0.08260775357484818
