loss_reconstruction,loss_prediction_1,loss_prediction_2,loss_linearity_2,loss_linearity_3,lin_dyn_weight
0.8722261844865428,0.8789458569264252,0.8776723848893339,1.4963144106690377e-05,2.4046520944324004e-05,4.195557892217039e-07
0.5658270023013121,0.5665625316184639,0.567990457931621,0.00023971443773941105,0.00046868774486743164,2.087647771986667e-05
0.43902361280966123,0.44015034893215105,0.44144087637830903,0.0014051574563620074,0.0027599944289298664,0.0001835524890339002
0.36394560621088784,0.36540622775186626,0.3673440129964944,0.0026098729930068023,0.004968786554648572,0.0007582554826512933
0.3047359474553358,0.30648310008465046,0.30884877179293024,0.0037391632045275414,0.00693404842543122,0.0024048348423093557
0.2579239371238939,0.26009362559990595,0.26268004251006466,0.004634983867606861,0.008241221448719102,0.006005260162055492
0.21952825752680732,0.22185306677082242,0.22475085258483887,0.005412444032278637,0.009178783769575542,0.012791085988283157
0.18625412577350667,0.18822951364837237,0.19111765631093275,0.005812979069532164,0.009162992379009324,0.02469387650489807
0.15737929712205925,0.15936155623237558,0.1620830353474457,0.005715137245071014,0.008439128290886846,0.043666522949934006
0.13492914548256255,0.13679860694296408,0.13920583484956883,0.0062375900779394495,0.008428127753654582,0.0680650919675827
0.11632460682784151,0.11809511560721686,0.12015612717442864,0.006251555991252797,0.008348498738452092,0.09846238791942596
0.10102208244720562,0.102682452313852,0.1045856468629517,0.0064448920772379676,0.008273645485407554,0.13347189128398895
0.08814939799524793,0.08971246544946761,0.09141048472999726,0.006672561738715076,0.008539936006469214,0.17242896556854248
0.07714070633753835,0.07858797423791565,0.0801463872794337,0.006658647079395768,0.008499584221999918,0.2147783786058426
0.0677228228957861,0.06908510579358812,0.0705321647976869,0.006569837423779021,0.008321545478081543,0.25912943482398987
0.059866232539983404,0.061071294186099266,0.06235684020407248,0.006563701515629788,0.008448581167515493,0.3030191659927368
0.053516382579035404,0.05472850247517528,0.055917185784986355,0.006875445093684549,0.00862745423644981,0.34404832124710083
0.04751226373966908,0.04865037050823237,0.049811769131846075,0.005743939364516495,0.007512286045407289,0.3877558708190918
0.04312427991488636,0.04414377952582084,0.04525433234720422,0.005636414295474955,0.007396097881281936,0.42321741580963135
