loss_reconstruction,loss_prediction,loss_linearity
0.5136795000400364,0.5149825966390145,3.449246559971219
0.1038051989458841,0.10495006936245246,0.6254863644732866
0.06557685551271042,0.06663079148323223,0.3091043157967422
0.05384967655902254,0.054565396079988324,0.1635321280032636
0.04654332981432411,0.047224819300641326,0.10419913327406302
0.042264753438272684,0.04301383610984595,0.10450678186905608
0.03740475012174241,0.038179324585295236,0.11227499995250804
0.0317507848423224,0.0322274939773789,0.08978562868991742
0.030015134230136232,0.03061266464678116,0.09590025853375647
0.028019229739145363,0.028701892781792953,0.10007867754384596
0.026207628297861715,0.02688000981393832,0.1017052658281761
0.025075317812389405,0.025672294933538654,0.10050932825330755
0.024192682829443316,0.02474853632117724,0.10452219284571528
0.02406307665915815,0.02477928551148633,0.11273477546091694
0.023119516995293524,0.02378668854307713,0.11571149294322042
0.02188915309893222,0.022522695782037586,0.1104161647265782
0.022765941068969526,0.023481526379610835,0.12690043541285692
0.021123047613466395,0.02187124006050681,0.1216927109431006
0.02029194581464692,0.020943435378392643,0.10841443635343546
0.02033336022144668,0.021113218944369946,0.11715518055988061
0.01987683358564773,0.0205189583039076,0.11276413246629705
0.0191385559487998,0.019797509276475406,0.10439130907563678
0.020357287835939,0.021382749115613765,0.1304607384965503
0.019314402969049703,0.020131435400079785,0.12032221279658836
0.01832061115122992,0.019167220594496253,0.11139687348466776
0.01799381686119867,0.01866883894393655,0.10804679023037007
0.0178780000277323,0.018681698521204673,0.10862431489430548
0.017473655393292212,0.01815346540538619,0.10625023590575594
0.017828492315401182,0.018841085675854147,0.12068257131301685
0.017235334755368432,0.01782113950869353,0.10891646374486406
0.015843742806714117,0.01658815562215711,0.09649392684806768
0.0158112374816,0.016554991609788933,0.09340806185559997
0.015285484610130417,0.015977301202894215,0.09009525570369278
0.016248663220724376,0.017108703419146686,0.09803623517341013
0.015944737661380232,0.01681068728380804,0.09872316360353785
0.015390135105649363,0.016142266712603395,0.09364656654583545
0.0150479313695239,0.015859351598285637,0.08798398736654593
0.015749173203917676,0.016792597448897745,0.10096058954582138
0.014585106795898391,0.015389803102884151,0.08261936959927907
0.013589821261511092,0.014499268372201089,0.07304224313983329
0.013949593549079934,0.014641825194612905,0.07522931254541267
0.013635580809961695,0.014391227348160807,0.07395696400317686
0.013429005203354135,0.014121747787931968,0.06847686824905648
0.01335382585890651,0.014067156197897711,0.06758390663656089
0.013370543391251532,0.014237116440511422,0.0665214095794004
0.01254232781851819,0.013254012153471443,0.05934574126438225
0.012512967609688041,0.013284839792102175,0.056967505421139916
0.012012178445329775,0.012817795977655588,0.05327672258658639
0.011633679615308708,0.012377477545620769,0.049544591916070864
0.011411922234772198,0.01216024018814113,0.045685693122266766
