loss_reconstruction,loss_prediction,loss_linearity,loss_contrast,lin_dyn_weight
1.3591780905429542,1.3583407763181998,1.0868666477395372e-09,1.0698433783318251e-07,2.5936829073369694e-11
1.0972802003011626,1.0915831039802,9.98661641199275e-09,4.91707190519719e-08,5.661364155251647e-10
0.9624436615938795,0.9608692744142568,3.598048629369174e-08,3.799051029318434e-08,6.267909746782152e-09
0.8708779351640962,0.8720494254664506,1.1161596979526506e-07,3.2992151233202094e-08,3.461441622221173e-08
0.8001447965568256,0.8014372467355498,4.443808947675689e-07,3.075171761679485e-08,1.3314409841314045e-07
0.7451789882483495,0.7461588227716911,1.4497068132089009e-06,3.007757953810142e-08,3.830174932772934e-07
0.7000446870883092,0.7008715610721475,3.715012451174938e-06,2.982409696983268e-08,9.166373047264642e-07
0.6628902976378679,0.6638891430067313,7.909692581185893e-06,2.8962908515950403e-08,1.8834374486687011e-06
0.6307552560724458,0.6318944708591492,1.5198212121560266e-05,2.8486660141879838e-08,3.505706445139367e-06
0.6026220781873443,0.6038630142927809,2.716576026329064e-05,2.786665120879661e-08,6.091931936680339e-06
0.5774207017696575,0.5787901227979174,4.5418077947955136e-05,2.6948915987645705e-08,9.995254913519602e-06
0.5550305308030055,0.5565188544685016,7.272193433598918e-05,2.5931976566084813e-08,1.5504418115597218e-05
0.5346239768468023,0.5361613540163628,0.00011403461679162073,2.541825416813026e-08,2.3250382582773454e-05
0.5155890847658664,0.5171707521814444,0.0001705908440861816,2.5266913894483878e-08,3.385959644219838e-05
0.4977877001020928,0.49946460207729493,0.00024378923050080484,2.5413616100422587e-08,4.81690040032845e-05
0.4809430136917104,0.48265435452755273,0.00034552662008836485,2.555965927797388e-08,6.742840196238831e-05
0.46455763196497757,0.46633383831453706,0.00047921171335718187,2.5967990424646814e-08,9.340176620753482e-05
0.44860565702333527,0.45044345902054306,0.0006581472626814854,2.6464945790394268e-08,0.00012832983338739723
0.4329504195710609,0.43475573152383595,0.00088462381637418,2.6842142730743035e-08,0.0001754076947690919
0.41761601338757265,0.4194326006055837,0.001169678476082296,2.7036904270971718e-08,0.0002385033731115982
0.40223701126454026,0.404034260930069,0.0015044782333195849,2.743354521328456e-08,0.0003238585777580738
0.3874238323590071,0.38930450543641404,0.001901954479875098,2.787260910963596e-08,0.0004358222067821771
0.3728254408682959,0.37485599078377835,0.0023763457259497836,2.93403097373357e-08,0.0005842941463924944
0.3587771656525998,0.36087523532616866,0.0029228574823558172,3.204306864290629e-08,0.0007742038578726351
0.34454322148903443,0.3464952966962359,0.003499542324911134,3.496809242165e-08,0.0010283784940838814
0.3309727460545445,0.33306042494467053,0.0040688903792574,3.7562966070936454e-08,0.0013500633649528027
0.3176237152185261,0.319774413795957,0.004558363440009608,3.594261954731337e-08,0.0017610896611586213
0.30473478853542746,0.3068492328673202,0.00509754229766434,3.3684862899008294e-08,0.0022826946806162596
0.29221394066836176,0.2941969720991303,0.005553455600120507,3.133948922595664e-08,0.002926462097093463
0.2803283813172307,0.2824612945398121,0.0059156662674655705,2.872466531300688e-08,0.003714700462296605
0.26847953674940256,0.2706490981195312,0.0062618803859615935,2.892112327401719e-08,0.004702856298536062
0.2572062915995038,0.25942481450996197,0.006931728569805702,3.017832739260484e-08,0.005891344044357538
0.2457676654926254,0.2480673817543178,0.0068861465444214065,3.3366966079029226e-08,0.0073960525915026665
0.23559351101637527,0.237900978997949,0.007013970401747297,3.629510558766924e-08,0.009061640128493309
0.22485952179169846,0.22710065016318262,0.007388222161131154,3.786153968121653e-08,0.011220814660191536
0.21551625282770825,0.21787117940970463,0.007514011214709473,3.831669914688973e-08,0.013524423353374004
0.20625055423530753,0.2083875854117621,0.007803267034035346,4.45951684469037e-08,0.016270963475108147
0.19700193093545315,0.19921482536172738,0.007660598504099865,4.56719178032472e-08,0.019558781757950783
0.1886256372720882,0.1909882250484129,0.007888658236882003,4.678979337313649e-08,0.023117266595363617
0.18084632303695578,0.18318002173632145,0.008302579851116956,4.9998305939880083e-08,0.027020098641514778
0.17270356920065894,0.1750087946573467,0.008191389064167205,5.062214469830906e-08,0.031759146600961685
0.16532449152610257,0.16742513981964888,0.007897070643988915,5.240488576419011e-08,0.03680281713604927
0.15823288229930815,0.1603634110165026,0.007920086096682594,5.26930996613828e-08,0.042381200939416885
0.1516803115126914,0.15401231914998378,0.007923717265973622,5.029419369861898e-08,0.04830236732959747
0.14519631387241405,0.1474051180697638,0.008090687853261709,4.839253264776744e-08,0.054949093610048294
0.13917992022337927,0.14122961225842023,0.008035606272698408,4.801519182251468e-08,0.061984628438949585
0.13309428495312503,0.1352108049009185,0.007854434187166972,4.87320654940504e-08,0.06999033689498901
0.12768662583092902,0.12964083677801946,0.007557857504499023,5.047276729897021e-08,0.07799030095338821
0.12247848318984617,0.12449766705486794,0.007719633199434338,4.9674635960172964e-08,0.08655007928609848
0.11728408627072225,0.11922532126267538,0.007406834978610277,5.062166152924874e-08,0.09603512287139893
0.1128167327862962,0.11480008626990919,0.008306109433838893,5.291698457199345e-08,0.10498613119125366
0.10777315551330194,0.10992400961411224,0.008502355152516359,5.342218756254624e-08,0.11610229313373566
0.10342128329158788,0.10536443565949678,0.008274711960622037,5.499095223626682e-08,0.12664411962032318
0.09944037755516835,0.10137338482902133,0.008735812341559668,5.626360533028674e-08,0.13712412118911743
