loss_reconstruction,loss_linearity
0.720650806184109,2.624592514603771
0.24729694086489026,0.023151854360251422
0.21376067032443294,0.011958283265483323
0.2105781775537189,0.00975193997848799
0.20093641360227926,0.010016947968153847
0.19676545649846822,0.011401728828669832
0.1938334494909077,0.010662497502524435
0.19495957886086074,0.011622888932439021
0.19296353791738005,0.010333569666393221
0.19322183492516065,0.011285090826179622
0.19149753091801908,0.0096409004961887
0.19158086456338458,0.009454507048643786
0.1901254466567538,0.008081375337867491
0.19033267366982018,0.00918877685390133
0.18997528545818124,0.008422235123084074
0.18815626707377447,0.007237623805235123
0.18840110130188611,0.007955827239973236
0.18898759310910274,0.008688504564208815
0.18741770995526147,0.006751872525468029
0.18793224237719425,0.007812599532291213
0.18856360989026028,0.008751726651254631
0.18814007738160704,0.007990972845391906
0.18700506068746142,0.00685440367786838
0.1870196475659874,0.006869422241261394
0.18773408545725467,0.007268509072883319
0.18670741362801827,0.007600553293497708
0.18801880825620554,0.008037156989078859
0.187283059027815,0.0070425919534878225
0.18895923352273475,0.009080513023263239
0.18677087319919955,0.006218847631097299
0.1867324992734689,0.008435893124381415
0.1886273940510788,0.008530788561179435
0.18805797657762072,0.009355104377932707
0.18695542735644383,0.00771568291202617
0.18851270712412713,0.008876117279356091
0.1877244258693971,0.007533365624005489
0.18755514284560892,0.007475808091167031
0.18822980746027612,0.00946628601332732
0.1887594906877896,0.009235760908955884
0.18921433105545454,0.009889708145898604
0.18871790058810972,0.00924865327789211
0.1854941945213415,0.005929526134491486
0.1889030887837704,0.010195843574538547
0.1856297454309847,0.006279688337555619
0.1878414556344137,0.008802111297421377
0.18639887138282327,0.007636636842027227
0.18892102255098941,0.009895155812743502
0.18857861871533996,0.008690383051517082
0.18591944445873393,0.006831282522559326
0.18754037088107808,0.009264996051838267
