,loss_reconstruction,loss_prediction,loss_linearity
0,0.6342165321511174,0.6342207923651381,1.616641036039496
1,0.22670314291207463,0.22677186970416727,0.0002308960384255445
2,0.20469714996801944,0.20473650637165153,0.0009232090987251377
3,0.20328009991479623,0.20334669516169673,0.00010691082042073282
4,0.20292528253298342,0.2030169983411922,7.665255654730582e-05
5,0.20264847169133357,0.20273323237256774,5.494088712650858e-05
6,0.20260549526431926,0.20267977064160814,4.0755933874343516e-05
7,0.2024573312208416,0.20253163803838214,3.0407935788272256e-05
8,0.2023748504172701,0.20243495275283946,2.32557591399485e-05
9,0.20238234957645151,0.2024321003589809,1.8569858635581616e-05
10,0.2025676732807952,0.20265083801970085,1.3976840618998592e-05
11,0.2021921507155288,0.20225131975102362,1.0991600834070573e-05
12,0.2022625026929794,0.2023272931815472,8.721737264016183e-06
13,0.2023084904329387,0.20237200197841143,8.012788795661096e-06
14,0.2021267482406652,0.20220204332878378,5.4383287299631176e-06
15,0.2020053790817312,0.20205318648118437,4.315518868318775e-06
16,0.20211578789728896,0.20218316607436929,3.4399790320460073e-06
17,0.20214000907564292,0.20220230419897842,2.7621430583055077e-06
18,0.20198486545610045,0.20204823582006204,2.1827485880595396e-06
19,0.20212572265725992,0.2021715070143462,1.7528442495388458e-06
20,0.20210823169023037,0.20213846602644422,1.4060215494831225e-06
21,0.2019566214436181,0.20198871630765797,1.3971932517429696e-06
22,0.20186728271019044,0.20194682355061294,8.894885042997614e-07
23,0.20188442767465403,0.20194416834745585,7.093672510424936e-07
24,0.20192246554524265,0.20198774976960457,5.549369434301426e-07
25,0.2018416689324315,0.2019011895634214,4.3634292422579915e-07
26,0.2018475385917096,0.20190596212970027,3.4467656100372764e-07
27,0.20179395617332918,0.20185127378948253,2.6607861376938407e-07
28,0.2018753287779422,0.20195370101577156,2.0496410640812707e-07
29,0.20180450395828278,0.20188443674318912,1.592761082607935e-07
30,0.20187186000334353,0.20191740574210323,1.1693070064668683e-07
31,0.2018452441724312,0.2019253690345038,8.856782813612901e-08
32,0.20191270440577183,0.2019648306251531,7.303431191960212e-08
33,0.20176692758424672,0.20181058582927203,4.830765994670486e-08
34,0.2019195762780013,0.2019778034642299,3.4244585462212595e-08
35,0.20190223919642195,0.2019716932690495,3.2495338523672134e-08
36,0.20179252462316774,0.2018787856875412,3.930334323592857e-08
37,0.20178280195505946,0.2018509831169655,2.1819743766942806e-08
38,0.20174473991502706,0.20182288923468092,3.510809811948048e-08
39,0.20181864635874056,0.20189238233796394,3.678122383371343e-08
40,0.20173615285123,0.2018038588139071,1.968190706511592e-08
41,0.20182051639454615,0.20186873595292704,2.274358039880193e-08
42,0.2016469322085061,0.20171317238430556,3.5855191116419865e-08
43,0.20168811042890472,0.20174425868342452,5.17940476590407e-08
44,0.2017208444848457,0.2017760506903518,5.056863341056381e-08
45,0.20163183765181267,0.2017053523507898,6.106282653065598e-08
46,0.201629415873548,0.20168906861751393,8.550670402054622e-08
47,0.20164469995064008,0.20171099825295302,7.184444397875628e-08
48,0.20174900184687597,0.20182823975028685,1.957139879436604e-07
49,0.20156741094333558,0.201650984205765,4.116748291084236e-08
