loss_reconstruction,loss_prediction,loss_linearity
1.156251634253893,1.1524582481256438,0.04770619429188503
0.753973255368404,0.7543162559695922,0.005591763083600806
0.6269974762888441,0.6271125348259872,0.004015881718316143
0.5442872367819257,0.5445719371692105,0.003566860966634095
0.4630034400534694,0.4631103684691258,0.00337551965630406
0.3823672926937287,0.38268819499271484,0.0034906486428190452
0.3038980785867164,0.304160172114743,0.0036088424639891203
0.23727949694717856,0.23744386698221712,0.0037093050762306867
0.1836249563872974,0.18380404453494914,0.0038350829074344033
0.14460086107413828,0.14475776674600452,0.0037850348419951768
0.11665947437685872,0.11692020255103508,0.003975719904487119
0.09655106676887251,0.09681030492680322,0.004288245461901136
0.08164427972750753,0.08201359901527297,0.004384241091841507
0.07112222938890751,0.0714056230582117,0.004738229915534643
0.06169280944137407,0.062125406270452224,0.004922052718644048
0.05487709885947506,0.0552172725046448,0.004610102942672835
0.049092707371503994,0.049478060778120565,0.0047206231280562064
0.04495206375384139,0.04537332413503376,0.004335904139376198
0.041393876265504725,0.04179280813553698,0.004167896654237131
0.03785553780301966,0.03823732748507814,0.004180420636406653
0.035085953981802864,0.03541884698153501,0.004251143802706422
0.03314725693624876,0.03349926404095687,0.00432703809078593
0.03078334849957007,0.031101446029487948,0.004032375018209738
0.02981767290079562,0.03015491084742482,0.004479968193768656
0.02848325938925187,0.028808603113162613,0.0041250018783702685
0.02737234043951169,0.02765055354335033,0.003938290246215527
0.026605618388539344,0.026903341706572523,0.004010300499064993
0.026013579089743843,0.026257230842800627,0.003946546114976181
0.024974424521820793,0.025268226008033304,0.003791885114656936
0.02481073039726182,0.02509594806057998,0.0038033815764949405
0.02387432591744946,0.024141876581287258,0.0038062190829249395
0.023481970722849504,0.023797881652179095,0.0039007129520926896
0.02338756174947717,0.023658680976755497,0.003866660693315814
0.022743496754214207,0.023019280489384328,0.0037250480188266563
0.022456767042504558,0.022790993716138297,0.0039937512689437365
0.021738370580863378,0.022012916855494075,0.0036717123756479803
